uid,iid,score,review,date
160,125,5.0,Good food we go once a week close to the best in the valley! Really good beef pho also the lemon grass chicken is awesome!!,2015-06-08 17:49:26
33,31,3.0,"The service was pretty bad. There were these two grouchy ladies dealing with us at the entrance and we have to wait ridiculously long for a table even though the restaurant is almost empty. Then we have to sit as far away from the food as possible. When we ask to sit closer they say no. We ask why and they say no one is covering that area. Seems like they could easily fix that or make one exception, I mean its a buffet. we won't be needing much service if any. 

Luckily that lady who took our drink orders was pretty nice and came over often to clear our plates and refill our mimosas. 

The food at the buffet was one of the better buffets I've had in Vegas, definitely better than Monte Carlo's or Harrah's, but nothing compared to Paris or Mirage. I was told Caesar's Palace is the best, but I've never had it. From the looks of it, I'm sure its a million times better than this place. If you want a relatively less expensive buffet where most of the food is tasty and there's a fair amount of variety you might want to go here especially for the mimosa's. We got a great deal from tix4tonight. Definitely check out tix4tonight or a service like it before you go anywhere in Vegas. 

One really cool feature here is the salad bar, where they make you a salad fresh for you. I really enjoyed the Chinese Chicken Salad. There's also a dessert area that has more choices than a lot of the other buffets, though the execution of them aren't so great. 

Definitely worth going to for the food, but I really thought the service was the worst out of all the restaurants I went to in Vegas. For those reasons I probably won't go back, but I wouldn't tell people not to go.",2013-10-03 08:38:38
313,154,1.0,"We sat at the bar and met the Arrogent Bartender

I asked for horseradish. It took 10 minutes and never came. I had to go around to the other side of the bar and pick it up myself. I think if I was 20 to 30 they would've brought it to me but I'm way older, so they ignored me.",2017-03-27 02:01:58
108,84,2.0,"Very slow and incompetent staff. Food is okay, nothing special. I would definitely avoid this place next time I'm in Vegas.",2013-01-27 18:15:16
349,215,5.0,Great atmosphere and food the owner and staff are always very helpful and friendly.  I highly recommend this place for a great date night.,2017-12-15 23:18:21
386,235,5.0,"Great service, fair prices. I have been a customer for over 10 years and they have been in the same location the whole time. Whenever I buy an expensive used watch I use these guys to verify it's legit.",2016-12-04 02:11:06
165,23,4.0,"Breakfast is my favorite meal of the day and I tell you the meals are huge and tasty.  If you have a big appetite this is the place for you.  If you do not have a huge appetite, I recommend splitting the meal if you come with someone else, which will lower the price significantly.  The reason why I did not give egg works a 5 star was because of the price, which unfortunately is consistent with all the other good breakfast establishments. If you don't mind taking a break from usual toast, please please please try out the banana nut muffin.  It is amazing.

Overall I recommend egg works but if you can split it with someone.  Otherwise you're going to have a massive breakfast to start off your day.",2013-11-14 02:47:01
461,254,5.0,"I have to say finding this place was serendipitous. I had just ran out of gas and was able to roll up to a gas pump. I went inside to pay and smelled delicious, well seasoned meat sizzling away on a grill. I'm like...hold up. There's a taco joint in here? 

I wasn't too hungry, but I could eat. I ordered 3 carne asada tacos--which were seasoned to perfection. So of course I was obliged to return. I came back the next day to get a burrito. Returned the next for a chimichanga. 

I think the bottom line here is I may require rehab. I'm addicted.",2015-10-17 01:02:29
357,207,5.0,We love Jade! It's an amazing place for a special dinner or date night with spouse and friends. We have consistently always had a nice evening here.,2017-02-09 03:56:37
569,4,5.0,"Hands down my favorite Italian food in the valley. These guys rock. Talk about service, more restaurants should take notes.",2010-07-07 17:32:58
217,158,1.0,Customer service is crap. No personality .1 and done for me. So many other Italian eateries in the area..,2015-04-15 08:34:19
499,134,5.0,"We adopted a new puppy from Leeds animal shelter, and after her required waiting time she was in desperate need of a bath. So the best dog wash place in Henderson was our next stop. Imagine our surprise, when we were told new adopted puppies get a free bath!!!! The ladies at Soggy Dog rock. Always clean and helpful, it's the place to go for a doogie bath (easy on my old back) Thanks Soggy Dog.",2016-01-30 03:05:28
457,252,5.0,El Chorro is my favorite place in The Phoenix area. I have NEVER had a bad meal here and nothing but exceptional service. I love sitting out on the patio; gorgeous views! Anytime we have friends or family in town this is where we take them and the meal and experience always get praises. My favorite items here are the braised short ribs and also the beet salad. I highly recommend and definitely suggest you ask to sit on the patio!,2017-10-02 02:33:23
486,241,5.0,"I absolutely love Futo Buta. I have been here a few times with just another person to 8. The service both times was friendly, fast and attentive. I get the Chizu every time. I want to try other things but it's just so good every time. I live in south end so this place is within 5 minutes walking and I'll probably see myself going once a week.",2018-06-19 12:10:43
382,234,5.0,"Absolutely great pizza.Stopped in for lunch.Had the two slice special,pepperomi and a soda.Slices are huge completely covered with pepperoni
Will stop in once a week for I am in the area same time every week.",2016-06-22 19:55:46
161,126,3.0,"Maybe it is an Arizona thing, walk into this bar...half the people are wearing plaid the other half look like they are clubbing in skin tight dresses and too much makeup on. The first thing I said to my friend is WHERE IN THE WORLD ARE WE?! Great place for people watching, they had a live country band playing which was cool, but besides that it was an interesting mix of people.",2013-11-14 04:11:50
424,201,4.0,"They suckered me by just smelling the pizza as I walked by! But what really got me was their wine special...was really wanting a very good glass of wine on this last night of our adventure. 

Never did get their pizza, although I seen it pass by a few times...Ordered their lemon Veal, and it was simply amazing. could cut through it with your fork. The waitstaff here was spot on, and the atmosphere and decor of the restaurant was beautiful...felt like you were in a little eatery in Italy. The prices are right...you get a good size portion - didn't order any appetizer...although they did bring out this very fresh, warm bread...which hit the spot! Was so hungry! 

the wine was brought out in a little glass canister, and was enough for two glasses.

Really enjoyed my dinning experience here, and I ate alone. Just sat back, relaxed and people watched.",2012-06-26 04:46:03
6,6,5.0,Best chinese resto. Highly recommended. 5 stars. Let us support this business. Best in the west valley. Trust me you wont gi wrong coming to this place,2016-03-07 01:03:08
88,80,4.0,"This is always a must visit on vegas trips.  I've had the St. Louis crepe (ham and cheese) and Nutella (peanut butter and banana). Yumm this place is consistently delicious every time.  The 20 minute wait is worth it for these crepes, just try and find a table early on since the seating is shared with the café next door. Seems a little pricey at about $10 but what isn't pricey in Vegas?",2011-10-27 17:24:21
155,124,5.0,"Good flavor, fast delivery, everything is HOT when it gets here!  Order all the time and have never had a bad experience.  My favorite is the Wonton Soup and House Chow Fun, but don't forget the Crab Rangoon!",2015-09-23 23:47:17
375,103,2.0,"The food is VERY average and not worth the price. The drink specials are great, but the service, the service is absolutely atrocious. I've been here 3 times and it always takes forever to get the food (which isn't the wait staffs fault) and to get the check (which is the wait staffs fault). Last time we went there, and it was the last time ever, it took our waitress 25 minutes to pick the check up off the table and return it. It became a running joke at our table of how long it would take her. To be fair, I can understand this type of wait when it's busy, but we noticed that the waitress only had 3 tables at the time. Trust the reviews on this place and go to another Mexican restaurant in south end.",2018-06-26 18:55:11
410,85,2.0,"I have been here twice, and I am not impressed. The atmosphere looks cute and promising, but the food is disappointing. The servers are honestly so snobby.  The only good thing about Diego Pops is their Brussels sprout nachos.",2017-01-02 06:01:36
614,304,5.0,"No one enjoys dealing with the issues that come from an accident, especially when it comes to dealing with insurance. But Bud, the owner of Select Auto Body made sure the entire experience was perfect. Despite a couple issues created by the insurance co., Bud made sure everything went smoothly and got us back on the road good as new. This is the place for all our body work in the Valley and we highly recommend Select Auto Body.",2017-08-16 12:39:45
258,26,4.0,"We had breakfast here 2 of the 3 days we were in town. One of my colleagues also had dinner here one of the evenings.

My favorite was fairfax; the eggs were scrambled beautifully. 

Coffee was average.",2016-11-21 20:06:13
423,244,4.0,"First time at Crush. Ambiance was great. Servers were top notch. Food was served fast, hot and was tasty. Enjoyed the Tuna 2 ways appetizer. Also, the heirloom tomato salad. Drinks seemed over priced, but it is Vegas.",2016-07-25 06:01:27
352,124,5.0,"My parents and I are frequent visitors to this place, always excellent service and good food! The people are so sweet and very helpful. My favorite meal is definitely sesame chicken!! I can guarantee we will be back on our next family outing :)",2017-01-27 22:11:07
643,164,5.0,"For as much as I like the Beatles and shows, I sure put up a fuss about seeing The Beatles LOVE. That's because even the lowest priced tickets were rather costly and because I couldn't envision how phenomenal it was. This is one of the best shows of any kind I've seen in my life. 

This was my first Cirque du Soleil experience and I'm reluctant to have another because this will be so hard to top. Be sure to get a Beatles-titled drink on your way in.",2015-12-20 23:41:11
501,240,5.0,Some of the best BBQ I have ever had.  Found this place when I was looking for a place to grab dinner on a quick evening flight up from Chicago.  It's super close to the airport and the food is outstanding.,2012-08-14 23:59:53
382,234,5.0,"Absolutely great pizza.Stopped in for lunch.Had the two slice special,pepperomi and a soda.Slices are huge completely covered with pepperoni
Will stop in once a week for I am in the area same time every week.",2016-06-22 19:55:46
244,46,3.0,"This is the buffet I used to always go to before I discovered the Buffet at the Wynn and the Carnival Buffet at the Rio.  I really liked it here before.  It's not like it's bad now, it's just that there's better out there!  It's cheaper here than the other places, the dessert is good here too!  I love their fruit tart and their cheesecake!  I have good luck gambling here too!  =D...wait do I?  I can't remember, I hope I did!  I'd totally go here again after getting my fix at either the Rio or the Wynn!!",2009-10-13 18:33:15
619,142,2.0,"We knew we wanted ramen while in Vegas (hot soup in the desert? Oh, yeah), but didn't know where to go.

A fabulous-facial-haired Yelp buddy had written a stellar review of this place, and we knew this was the place to be. So, we made reservations (totally unnecessary) for lunch.

The place was pretty empty at noon on a Sunday, but filled up pretty quickly. We were seated, offered drinks, and ordered from the prix fixe menu.

+First course: Social House green salad with baby mesclun, tomato, and julienne slices of some root vegetable. It was dripping in the ginger dressing. It was tasty, but I wasn't interested in drinking my salad.

+Second course: Tonkotsu ramen, pork broth, a slab of pork, served with a soft-boiled egg and some fried garlic bits. The broth tasted kinda funny, so we added a splash of soy sauce for some flavor, broke open the yolk to add some creaminess, and sprinkled in the fried bits of garlic for some bite. It helped tremendously. I finished the entire bowl. Woo, proud member of the Clean Plate Club!

+Third course: spicy tuna cut roll. Here's where the problem lies: I don't know about you, but I cannot stand it when sushi has creamy ingredients added to it. Save the mayonnaise for sandwiches and the cream cheese for bagels. When I order sushi, I want simplicity; the flavors of the rice, nori, and fish must be able to stand alone, otherwise, I begin to wonder what you're trying to hide with that huge dollop of aioli. End rant. Anyway, with all that said, the sushi was NOT my favorite. Even the shrimp tempura cut roll had a ton of aioli added to the already-creamy avocado. What gives?

The service was great and the atmosphere was beautiful, but what's all that when the food isn't excellent, too?",2012-10-08 17:54:45
609,194,4.0,"Wow - first time at fatburger and it was awesome!!!!  You can add pretty much anything you want to your burger, I had mayo, fried onions, cheese, pickles and lettuce and it hit the spot.  We had chili cheese fries that were about what you'd expect , pretty good but nothing special.  Long wait for the food (20 min) but it was worth the wait.  Central location on the strip, near MGM , across the street from the Monte Carlo.  I just wish they had these in MN!",2014-02-24 09:37:11
455,250,4.0,"Amazing location! We went to a Cardinals game and literally were able to walk to the stadium. The hotel is very chic. Staff was friendly, accommodating and helpful. We had arrived early on game day and they had a waiting list of people for early checking and they were able to help my 60 year old mom to a room while we went to the game! The beds are amazing and the room was tidy. The shower had adequate water pressure. They do serve Starbucks coffee downstairs in their cafe and have free wifi. They had multiple big screens in the lounge and so we were able to watch SNF( loved it)! The only bad experience we had was valet parking was $15 (which isn't bad for a location near a high venue spot) and I paid the bellman directly and then the next day it was added to my checkout bill- they did fix it right away! So don't pay the valet directly just tip them! Oh and before I forget there is an outlet mall, theatre, and plenty if restaurants nearby!",2013-10-24 07:48:33
666,298,5.0,"This is my favorite sandwich place! The food is fresh and super delicious. I usually get a panini and chicken tortilla soup but also have enjoyed their salads.The staff is wonderful, this is a family owned business and they take pride in the services they offer. Give this wonderful place a try- you will love it!",2016-10-14 00:33:39
188,139,1.0,"Holy crap I am never doing this airline again! I know with budget airlines, you get what you pay for but this airline is beyond terrible and needs a lot of improvement. There are fees tacked on for everything and you have to be careful with what you are doing. This is my first time taking Allegiant and usually we take United Airlines. My mother and I took Allegiant to Las Vegas from Colorado Springs and we weren't expecting much after reading all of the other reviews. My disabled mother was not able to get her carry on into the overhead bins and asked a flight attendant for help. The flight attendant's response was to ""do it yourself"". Flight attendants are supposed to help those in need! Our flight was late leaving the gate, seats would not recline on the MD-80, they did an inflight beverage service but charged for every damn thing you would normally get for free such as orange juice and water. There wasn't any snacks, speakers were way too loud and we had an even crappier experience at the Las Vegas airport. We bought the shuttle thing to take us to and from the airport for about $30. People around us said they got it for $12. Our paper said nothing about the shuttle, where we were supposed to go, what shuttle looks like, etc. We waited a very long time for the shuttle! We were told by one of the employees that we were going to the Hilton Elara and to get into line 2, he later told us the bus was approaching and to go to line 1. The driver looked at our papers and told us we were in the wrong line and line 2 is the one we want. Very aggravating that so much went wrong with everything that had to do with Allegiant. I might do a budget airline again but never Allegiant, they are so disorganized and rude. They don't know what good customer service is, and I am warning everyone I know about them!",2015-05-26 07:01:44
524,59,5.0,Tasty twist in Southern style fried chicken.. awesome staff and great atmosphere. Came here with my wife for her birthday .. can't wait to come back,2017-03-27 03:57:20
536,280,2.0,"Food is usually decent, but unfortunately the atmosphere leaves something to be desired. There's never any music being played (especially on a friday or saturday, really?) It's like a church on sunday in there.  
They also never open the window ledge that leads to the outdoor patio--which is a huge plus for most folks that want that ""outdoor experience"", like Cold Beer and Cheeseburgers or Zinburger's.  Half of the fun of being in arizona is being able to sit at the bar outside, while having the inside feel of the bar.",2016-06-23 00:54:59
250,110,4.0,I absolutely loved this place. Adam was great. So caring about our group.was there with daughter & 3 of her friends for her 25th birthday. The appetizers all down to dessert were good. Filet was tasty and everything hot and well prepared. I can hardly wait to return.,2014-08-10 20:55:43
578,295,5.0,"Ridiculously good. The fresh warm pita with zaatar comes in a small brown paper bag. Great with any of the mezze dips. We got babaghanoush and lebneh (yogurt). We also got the brussel sprouts with cashews. Just the vinaigrette with the roasted sprouts is amazing. I can't explain the taste but if you like brussel sprouts, get this! For the main, my mom and I split the grilled branzino and the grilled octopus. The branzino was delicious. Perfectly grilled, and not too dry. The octopus wasn't cooked enough in my opinion. It's very hard to do, but it just wasn't the correct texture. Overall, Cleo is a great place. It's on the opposite end of the strip but just hop in an uber and have some delicious Mediterranean food!",2016-09-18 16:10:20
152,122,2.0,"My first visit here was about 2 months ago. I'm not entirely sure when this place opened but I knew it was fairly new. Either way, I ordered the San Francisco Benedict. The atmosphere and everything seemed great. When my food arrived and I took a bite, I realized I had been given the wrong dish as this one was called the Sandi Benedict and had spinach in it. It wasn't a huge deal to me. I really just wanted avocado, so I let the waitress know I had been given the wrong plate. She said she'd fix it and went to the back. I decided to stop eating as I wasn't sure if they were just bringing avocado or if they were bringing a whole plate out. After about 5 minutes of my boyfriend eating and me waiting, a manager came over and asked if everything was okay. I replied that yes as the waitress said she was handling it. Another 5-10 go by and I hadn't heard anything. I was hungry and now my food was cold so I just started eating it. Finally, the waitress comes out and asks if the manager handled my issue. I told her that I told the manager she was handling it. She ran off to figure it out I guess. I ate my cold food and was very unhappy. The manager came over later and apologized and told me that the waitress hit the wrong item on the tablet and they are so busy with trainees that it was chaotic. She gave me a $13 voucher and did not charge me for my meal. She assured me that it isn't normally like that, so I accepted this and planned to return in the future. I would like to mention that the food was good, but the experience wasn't. 
I returned just this last Saturday intending to use the voucher and give them go #2. We had a young male server this time. He was nice and polite. I asked him how their herbal tea is (as that is all it was listed as on menu) and he said he hadn't tried it but knows it's some sort of seasonal harvest blend. I agreed to try it. When he brought it and ran off, I noticed he brought me coffee. I waited for him to come back around. I'm really trying at this point to give this place a chance but it was striking out again already. When he finally returned I clarified that I asked for tea, to which he said he thought I asked for coffee and he said he'd bring the tea. When the tea came, the water in the pot was basically almost room temperature. It was just lukewarm. I was sort of done trying so I just lived with it. I ordered the same thing I intended to have the last time. When the food finally came, my hash browns were nice and hot, but the eggs were again room temperature. Not even the slightest bit warm. I didn't complain. I just ate my cold food and made the decision I won't be returning any time soon. Again, the food is good (Should be at least warm) but my experiences here have not been the best. Maybe I'll give this place a year or so to get things together before returning. I've never been anywhere where I have had back to back not so great experiences. I gave it 2 stars for the food being okay alone.",2017-11-06 17:56:52
275,172,5.0,"This is a great place for happy hour any day of the week! There house margaritas are amazing (made with freshly squeezed limes), guac is yummy, and so are their tacos. If you find yourself in old town Scottsdale it is worth a stop in",2018-03-15 20:41:38
210,155,4.0,"Live nearby and tried them for happy hour and was very pleasantly surprised. We had heard mixed reviews before so weren't too sure. Anyway we all liked the items we ordered, especially the beef brisket sliders!  Our server, Erica, was great and took time to explain the menu. Will definitely go back.",2015-06-08 19:33:25
370,227,4.0,"This is my go to place once again.  Thank you to Victor! You fixed my problem, I wish all managers cared as much about their customers as you do.  You addressed my concern and fixed it.  I cant thank you enough, To Wahoo's, Victor saved you this customer.  

I love your food.    Thank you again Victor I really appreciate you.",2015-07-28 15:05:17
262,107,3.0,"My family ate here on our first visit to Arizona.  I remember watching Guy Fieri feature it on DDD, so we were excited to try it.  I may offend many people, but we were very disappointed.  We ordered a few different items so we could try it all, but we didn't LOVE any of them.  Here's what we ordered (all in the large size)...

cheesesteak sandwich:  way too rich and ""Velveeta cheesy"" for our taste 

meatball sub:  it was okay, the marinara was the best part

fettucini alfredo w/ chicken:  bland sauce

calzone:  honestly can't give a review of this other than it was humongous!  it came out later than our other food, so we were too stuffed with the other dishes, that we just gave the entire thing to the valet attendant at our resort.",2013-08-03 20:59:50
271,185,3.0,"While the BBQ is good, the wait times, selections, and price make this mostly not worthwhile. The spicy bbq sauce should also be what it is; spicy. If it's too spicy for some they should be smart enough to go with the regular or mix the gall to bring it to their level. Right now spicy means regular with a dash of pepper.",2017-08-16 14:46:15
505,69,3.0,"Came here this morning because Gordon Ramsay Pub and Grill is no longer serving breakfast. We decided to stop here since we love diners drive in and dives. 

Food is Ok. Nothing to write home about. Big portions but lacking some flavor all around. Bloody Mary's are too sweet and too spicy for what you ask for. Asked for spice level 2 out of 5. Thought my mouth was going to melt off. That garnishes that come with it are great. But that's about it.",2015-01-18 18:56:47
674,134,5.0,"I just moved from Oregon and really needed a place to wash my dog after going to Lake Mead. This was the best experience I could've ever asked for. The workers were kind and genuinely nice people. They not only helped me figure out what I was doing, but they also remembered my dog the next time we went in. There are amenities galore, and I truly believe this place is one of the top self dog wash places.",2018-02-24 02:49:05
325,206,1.0,"If I could give this place a half a star or zero I would. It was awful. We walked down to the grill after visiting the Museum. There were 9 of us and the place looked like it would be able to fit us. Looked empty inside. We were hungry so asked the guy standing outside if he room. He said ""hold on let me check. This might be your lucky day"" while looking at his empty dining room. Then starts telling other people who are waiting on a table that they were running out of food. When they questioned him on what he does have his response ""what do you mean. We have a full menu"" but you just said you were out of food. ""No. I said we were out of fish"" then the host continues to argue with the other guests. We decide to leave and he gets upset with us saying that if we stay he would give all of our drinks free.",2017-12-02 21:09:34
193,103,2.0,"Food came out at room temperature. We were the first there on a Saturday and expected fairly fast service. The flavor in the Tacos was good but nothing on the plate was hot. The food temp seemed like it was sitting for awhile. I'm not sure what is going on with Hot Taco in regards to food not coming out hot. The service was great and our waitress was excellent, but the food not being HOT really disappointed us. 

The manager came out and apologized. He also took care of the bill. I want to give them a second chance but it seems others have been since our visit so I'm apprehensive. I think this place would be great for drinking but not eating. Kinda sad since there are so many great options for dinning in this area and I hoped finally we would get a great place for Tacos. I guess we will wait and see if the reviews become positive before visitng again.",2015-09-23 23:08:13
124,106,4.0,"This place is always chaotic.  Super super super busy, but that's because it's really fun!  As a girl, I know a lot of girls wouldn't be comfortable or have fun golfing at a ""driving range,"" but that's why Top Golf is so great, because even if you don't want to play, you can just hangout and eat/drink with your friends who are playing.  Whether you're coming here for a date, birthday party, in a big group, or whatever it may be, this place is great for people of all ages.  The atmosphere itself is really fun and it's just a super cool idea that's entertaining.",2015-08-06 20:47:43
319,204,5.0,"My spouse found a deal on Groupon and planned a great evening out for us the atmosphere is simply delightful,  the food was beyond delicious the pear salad and pork belly was my favorite dishes of the evening, but we also had some of the best service from our waiter and other servers that worker there. The kicker is on Saturday night they have a live band which just made it that much more romantic and set the tone for one night I will not forget our date night!  This is definitely a must, must check out place for great food and of course the wine!",2015-09-24 00:09:55
410,85,2.0,"I have been here twice, and I am not impressed. The atmosphere looks cute and promising, but the food is disappointing. The servers are honestly so snobby.  The only good thing about Diego Pops is their Brussels sprout nachos.",2017-01-02 06:01:36
615,16,5.0,"This is the best restaurant in Regent Square. 

I've had several dishes, all of which are excellent. In my opinion, this is also the best Thai in Pittsburgh.

Shrimp Pad Thai is fantastic. Good portion eat in or take-out, with tons of big, juicy shrimp. The Cottage Wings are quite honestly the best wings I've had in Pittsburgh. I could probably eat 20+ of these things at a time. Everything I've eaten has been perfect.

The staff is also very welcoming. The taller lady (I think she may be the owner or manager) always greets us with a friendly smile, kind words, and excellent service. She seems to really be doing what she loves (and she's doing a great job). We have never waited for a table here, even with the place being as tiny as it is.

My girlfriend and I live close enough to walk to this place, and we do so on a fairly regular basis. It's our go-to if we want to stay local.

The only (small) complaints are as follows: They serve soda in cans, but this is sort of the modus operandi for a lot of Thai restaurants, so I can't really come down too hard on them for this one. The other issue is how close the seating can be, but this sort of thing comes with the territory in the city.",2017-01-02 05:29:08
634,190,5.0,"This was my first experience to Melt and I have to say it was awesome.  Everything was fantastic, and I will explain... my buddy and I went for a late lunch today (Monday) and there was only a few people there, so for me it was perfect since I am not a fan of crowds.  Next, the decorations are creative, fun and playful... and I had never thought to use holiday light sculptures as a decoration other than a yard ornament, but it is looks great and works for the space.  The server was excellent and attentive; he came back to the table at least 4 or 5 times, and repeatedly refilled our drinks, made sure we were doing okay, asked if we needed anything... wonderful service.  I ate the El Diablo, which was great... really spicy, but I like to sweat and tear up when eating tasty things.  It brought a tear to my eye; but in a good way.  The burger was spicier than I expected which caught me off guard... loved every minute of it.  The quality of food was excellent and matched with the quantity, which was very filling.  The menu had so many things I wanted to try.  The beer list looked great, but need a designated driver for next time.  There appeared to be a variety of root beer options, so a variety of root beer flavors?  Every thing I am writing is leading me to one conclusion, and that is I am going to go back to try different things, and share this fun atmosphere and great customer service experience with my wife.  I whole heartedly recommend this place which exceeded my expectations and made me a believer of this establishment.",2012-12-04 04:08:51
60,15,5.0,"Their specialty dishes are very unique.  The spicy tuna nachos are amazing. Some of my favorites are: lemon roll and the edamame is a must.  For desert also try the chocolate chip cookie with fudge and vanilla ice cream - yummy
We celebrated a birthday in the Tatami room.  Beautiful private room, we sat on cushions  in a very cozy setting.",2015-08-19 05:01:23
315,183,4.0,"Nice atmosphere from the moment you walk in the door. Great view from the outside balcony! Great beer selection and helpful, knowledgeable staff. Nice menu and several rotating selection of beer as well. Great addition to Downtown Summerlin",2015-08-30 16:48:47
636,311,4.0,"Went last night with the family (6 adults and 1 baby).  Wait was long, but that's expected on Friday night.  Food was excellent. The new menu had good choices. We really liked the soft pretzels and the hummus for appetizers.  We had to get a second round of pita for the hummus it was so good.  The Caribbean rum ribs were great.  The pasta was also delicious.",2012-04-28 12:53:54
277,185,5.0,Amazing staff and food everytime! Always so welcoming and the food is constantly awesome.,2018-07-17 01:33:57
495,88,4.0,IF you get table service... be ready for the most thirsty girls you have ever seen.  They are just dying to come to the table so if you roll with a bunch of guys and want girls this is the spot.  The lay out is nice and TONS of people there.  They have a inside area and middle area and pool side spot.  Def get the inside area as where that is where the DJ is and where all the crowd is partying.  Table prices are good and service is decent.  The bouncers are cool and VIP is roped off.  Tables are big and tons of space if you get the side tables on the wall.  Only problem here is that the VIP hosts are not cool at all.  Out of all the clubs I been to in Vegas this is the only club I have problems with the people working the VIP stuff.  But other than that def a club I would check out if they have talent there.  Have fun!,2013-04-10 22:48:06
428,192,5.0,Really good food. I had a nice fluffy meat lovers scramble. And my husband had a tender new york strip cooked to perfection. And the house coffee is really good too.,2015-11-18 17:59:19
64,60,4.0,"Enjoyed Nee House immensely. No service issues, just fantastic chinese food. Food order? Spicy Green Beans = Perfect!, Chow Fun (Chicken) = Perfect! 

Just a great place. Perhaps my expectations were set by all the bad service reviews, but I was not disappointed.",2012-04-28 21:08:22
42,40,5.0,"This is one of my favorite places to eat.  The food is delicious, fresh and almost everything can be made with tofu as a substitute.  The owners are very friendly and the food truly is superb!",2010-07-07 20:32:25
550,285,5.0,"Best Schnitzel in town.
Great German bread.
Very friendly, very helpful,
Great sausage to.
Highly recommended",2017-08-28 21:18:11
506,302,3.0,"It was descent - the egg flower soup was very good. Sad, that they don't restock their crabs legs after a couple of people take plates full--not unlike Pacific Seafood Buffet. I think, for the price, we can get better and fresher at Sushiya or Yanagi. Sorry, but you fail on being a seafood buffet--more of a typical, but over-priced Asian buffet.",2015-12-05 04:59:33
377,231,4.0,"Got married this weekend - and wanted to celebrate at The Salt Cellar on Saturday Night. 
I have been here several times, and the food is always great! 
We made a reservation for 8:00 PM. 
Service was great - they messed up my order, and was able to get the correct order in on-the-fly... the only part that sucked was that my husband had waited until my food came out because he didn't want to eat without me. So, he had to eat cold lobster. (I told him about 15 times to please eat. I would just pick off of his plate.)
I felt horrible - it was an easy mistake by the server. 
We did not give him a hard time, because he was very stressed out and felt awful about making a mistake.",2017-08-28 20:23:24
698,71,1.0,I had the Thai chicken bowl which was advertised as a red curry. It was probably the worst meal I have ever paid for. There was almost no chicken and no curry - just a mush of nearly unrecognizable vegetables and who knows what else. Stay away.,2016-09-30 21:48:43
98,88,4.0,"Came here with a group of 20+ to see Morgan Page on 11/30/12.

Arrival: Got to the club around 11pm. Getting to the club was simple, took only around 15 minutes from the car to the lines (and that included a bit of pre-gaming)! 

Entry: Got my entire group on a guestlist with a 1:1 (guy/girl) comp until midnight. Sign up on their website and you will get a text back if you have been put on. The entry line was confusing as hell, with at least 4 different lines (staff, promoter, general, VIP). There was an open bar for ladies from 11-12 so things were a bit rushed. This came back to bite me in the ass as I made the mistake of leaving my guestlist line for the shorter staff entry line. Members of my group were with this female staff member who said could get us all free in even though our guy:girl ratio had more guys. I spoke with her personally to make sure of it before I left my line. Well...SHE LIED! The bouncers upfront simply took the first equal ratio of guys:girls, leaving me and another guy stuck paying $40 entry. My girlfriend was not pleased with the fact that one of my other group members (who came stag) got in for free and I didn't. Whatever, lesson learned. Don't rush in. Don't be tempted by an open bar or a shorter line. Stick with guestlist if you're approved. Make sure your group ratio is even or favors girls. Don't listen to otherwise!

Club Layout: The club itself is very nice. Not quite as grand or spacious as XS next door, but a beautiful venue nonetheless. Main dance floor is average sized. It was spacious enough so that we didn't feel like canned sardines and had adequate room to dance. There are no stairs or steps to climb, a la Marquee, so ladies will appreciate this. The main room is flanked by a large tent-like area and the outdoor wading pool/patio area. The easiest accessible restrooms are outside as well (the indoor one gets crowded). The outdoor area is ideal for those who want to socialize more, take pictures, take a breather, etc. It's beautiful.

Bar: The indoor bar layout is terrible. There was maybe 10 feet between the bar and the backs of the booths for those who got tables. This 10 feet also serves as the main walkway to get to the tent and outdoor area. Not so surprisingly, there is a lot of pushing, bouncers shining lights and telling you to move, and it worst of all: it takes forever to get a drink! I said before to not by tempted by an open bar for ladies and here's why: this is the only bar ladies can get free drinks from! On top of that, ladies can only get one drink at a time! So ladies, if you planned to be here for an hour and get drunk or pass drinks to the guys, you'll be disappointed.The outdoor bar nudged in between the tent/outdoor area is empty and stress-free compared to the one inside, so I would recommend buying drinks from here. Drinks were typical Vegas prices so expect in the neighborhood of $15 per.

Overall, I had a great experience at Surrender. The club was beautiful, my group had a blast, and Morgan Page (and his opener) rocked it! Learn from my mistake, stay away from the indoor bar, and come with great people and you will have one memorable night! 4/5.",2012-12-04 07:49:34
372,224,5.0,"Had a few Sarita martinis, very strong and delicious. Also had the prosciutto wrapped mozzarella Very very good I thought about getting a second. Brussels were amazing, perfect combo of salt and sweet. Mussels were mediocre.",2017-11-06 18:58:30
431,246,3.0,The burgers are great everything on the menu is okay wings suck Buffalo Wild Wings are even much better and the drinks are way to over priced they charged us 18 dollars for one double grand marnier crazy even downtown Charlotte is cheaper.,2016-11-09 19:59:02
197,131,4.0,"In town for Spring Training and went here at the suggestion of a local.

It does take some time for the food to come out but that's because everything is made to order and you just cant rush good Crepes!

We had the breakfast ""burrito"" and a sweet crepe.  Both were really good.  

1 star off because we weren't  fans of the spice mole cookie we had for ""dessert""",2016-03-07 00:02:50
472,232,5.0,"Came here again but 3yrs later and with a different car for the same ac issue. Travis was awesome, very professional and knows what he is talking about. A plus is they never tried to up sell me on anything",2018-04-04 00:10:53
