,uid,iid,score,review
967,402,240,2.0,i return pick takeout son i say experience worst service i ' experience madison when i call order server almost reluctant give balance abruptly hang when son i arrive restaurant three server pas u ignore u wait 2 minute server get phone ask u want inconvenience i single mother try buy something memorial day indulgence break bank the amount food receive 1 / 3 slab pull pork sandwich laughable if go charge $ 15 least decency provide good side something larger condiment cup mexican place road us sour cream i sure people rate place highly ; suspicion meat well do rest business languish i eat world international city business would fail we return 
969,692,197,5.0,if get chance see bellagio fountains must - see not beautifully synchronize music show remind beautiful ballet viewing tip : be sure drink hyde bellagio this perfect view fountain even open wall window get close personal experience 
971,567,47,1.0,i eat vegas 3 4 time week first last time restaurant food old manager unprofessional price ridiculous get don ' waste time i know something wrong four table customer 
972,803,72,3.0,"very vegas "". was huge fan atmosphere i felt like everything really dirty course restaurant would freak people the water taste weird food alright i ' better this place nostalgic anything "
973,641,153,5.0,the thai food amaze i get pad see ew delicious the staff friendly 
976,327,208,5.0,these guy absolutely gave call able accommodate short notice request knock record time the one ( many ) thing i like guy educate most company come job get carpet monkeys look educate create repeat customer they definitely go crew carpet clean 
977,793,321,1.0,"the customer service bakery horrendous i order plain white cake party note i order i would store night serve next day when i go pick cake plain white request instead cover chocolate drizzle lump i tell lady work i could scrape knife ."" they ' even offer help fix the box want take cake home also ' fit size cake i order ' come close close shut i tell cost extra box actually close ... what ?!?!? buyer beware "
978,391,35,1.0,"for starter shuttle service take hour come pick u airport it appear one small van / bus use ton extremely overprice limo ( prepare pay $ 12 + per person one way trip van .) the driver rude impatient yell passenger the majority hotel staff extremely rude unfriendly check - / long ordeal the room subpar the mini - fridge ' work want empty use stuff ( week ), go cost $ 25 plus $ 50 every day empty be super careful even touch something ' electronically monitor charge whether drink / eat we speak manager fix first day come fix hour check the maid service ridiculous ( though inform contract ). they barely clean room never replace towel throw shampoo / soap onto counter everyday come hour earlier would knock even disturb sign hang the first night request extra blanket 2 hr later still blanket call second time 45 minute bring thin disgust blanket a light burn fix room still dark the couch ( hideaway bed ) outdated ugly fall apart extremely uncomfortable the entire casino lobby smell overpower horrid the food ( even vegas ) really overprice mediocre the spa bad one lady even scold u like child literally yell u b / c self tour locker room -- even though explain spa front desk attendant tell u the hotel pain as navigate get guest elevator either navigate casino shop plaza on weekend night forget club tao place madhouse entrance line take entire foyer we eat i love burgers staff fantastic get really sick within hour eat the resort fee ' include fitness center for reputation the venetian extraordinarily disappoint in fact come time gamble / shop go hotel we give money while i run least three guest worse problem i next trip vegas ' stay elsewhere ... perhaps bellagio mgm "
979,213,117,5.0,brunch never it week since i already forget server name .. but amazing we opt ayce menu aycd mimosa since everything menu sound delicious start u recommendation he also inform u different flavor mimosa time refill glass new flavor we try every flavor offer and boy tipsy my favorite dish probably shrimp grit again ' notice trend review .. i love seafood anything i love other faves steak egg breakfast fry waffle yummmm mimosa flavor favorite would peach one will definitely back next time i ' sin city 
983,354,217,3.0,"as soon get i think i down rub alcohol random guy friend friend meet give he say vodka i think rub alcohol needless say i guess i disinfect then guy ' friend ask hey ' wait long time what take guy long ."" seeing friend dead silent i decide nice try answer provide u cleanse oh fly i hope ' wait long ?"" i ' wait life come along ."" that ' i basically laugh face seriously you really try use line really ?"" well i try ."" oh really ' ."" i continue laugh disappear mysteriously back crowd apparently i ' tell lindsay lohan frequent i ' see the music terrible dead stop middle set poor song selection then lowlife think buy drink pony something drink notice ' supply drink lot shove require part i would rather buy drink talk people shady shade nevertheless i still fun company i best nerd moment ever friend bust iphone spin like ' spin glow stick i crack hard that ' make worth the people i go air cond full blast desert "
984,704,21,1.0,one person work 7 car wait not i handicap wait 20 minute i go miss flight according worker take sweet time per car one worker sunday ' i call main number say would bring someone when ask i one call turn around leave wow can ' wait talk ada 
985,847,343,5.0,i go dr berelowitz since i 12 year old ( i 28 !). he move away year i so happy come back town he care patient thorough i know wait - list long jsut show amaze i endocrinologist since i diagnose type 1 diabetes 26 year ago far best endo doctor i ever 
986,332,24,4.0,another buffet the strip definitely better still without flaw the buffet bellagio probably recommend come vegas ' always live hype lines incredibly long time waiting upwards hour .... eat vegas the decor drab dim ' really convey good eat atmosphere the food mediocre get better weekend dollar well if happen get buffet line ' long ' bad choice otherwise go somewhere else come back time 
988,821,4,5.0,pizza really good they also garlic knot great we also get zepoli powder sugar the owner nice food always good 
991,739,79,5.0,i dream red jade chicken snicker doodle heaven earth truly one eclectic din experience i ' ever i ' wait go back 
992,266,183,5.0,what awesome place great food great service we make reservation glad got time tail end recess ( aka happy hour ). decent variety drink appetizer special enough cover everyone ' taste bartenders knowledgeable friendly even though packed dinner thing get better try fry coli - flour review many time it really good outdo bacon cheddar tater tot yum for main i bangers mash really good sausage excellent though quite true english form b & m still very good my wife roasted pablano ' vegetarian would work delicious boot our friend short rib report world good his wife shrimp white cheddar grit best grit i ' ever try just wish 5 star really make place stand even we back sure !! 
994,101,74,4.0,wow !!! what place took kid easter brunch great time can get little pricey careful it take extra order doughnut hole convince leave 
995,450,22,1.0,ikea sucks !!! i already buy 10 enje roller blind i need 10 after talk employee i tell they restock item every week i go ikea two time finally i tell item available store till october likely i order line store whole united state accept order line phone one locate houston tx i call 20 minute phone tell order line so i go online try order i receive email get back 10 day after 10 day say send order policy long story short i call today tuesday talk store manager name glen atlanta store told i drive 250 mile pick i need explain story he act like big deal tell able put item hold i wish first i shop stupid swedish company f *** ed stupid rule i recommend store anyone 
996,426,245,5.0,lovely quaint place away usual scottsdale & shea crowd great pizza amaze service attention detail the proprietor warm friendly know italian food 
998,810,234,5.0,this legit ny pizza i ny owner care product i eat pizza try item the location hard find care long island neil i go often vinnie make good pizza good crust good ingredient good sauce you scmuck agree i check vinnie product i sell food product 20 000 vinnie buy top quality know way around pizza oven case close .. 
999,922,26,5.0,worth hype wait the line move fast the slut fairfax ( add bacon ) absolutely delicious 
1001,514,228,5.0,one word : amazing !!! carne asada cook perfectly portion large service awesome !!! i get delicious food make friend !!! 
1003,480,263,3.0,they decent price sushi but omg worker rude if plan call togo order speak someone dinner time think again they literally pick phone hang thats rude 
1004,891,112,2.0,"after read review cleveland ' best new restaurant "", high hope butcher & the brewer man disappoint let tell i expect amazing service especially restaurant big pack place ( since i server i feel people run around like crazy ) go night two concert home indians game my boyfriend i meet family friend right sit waitress show take drink order i love beer see draft wine menu make heart pitter - patter my boyfriend stick farmhouse rouge friend order le boucher four appetizer u share right bat this sadly thing begin go downhill my boyfriend ' beer come regular 12 oz glass bright orange - yellow color the menu say farmhouse rouge amber i even comment brightly color continue sip draft wine ( still excite ). it also little hoppy taste first drink enjoy our friend ' le boucher deep maroon color come smaller snifter glass one one appetizer arrive the slider tad overcook delicious thank brioche bun spicy mayo the corndogs also delicious carnival wiener the whole wing ( okay ) bring u actual waitress food runner ask fourth final appetizer wait one excite : bone marrow she say would gladly go check u minute well minute soon turn 20 minute then 25 minute our waitress come back see need drink last appetizer hand our friend ask bone marrow again change beer farmhouse rouge boyfriend order i order another glass wine now thing get little strange the waitress come back tell u bone marrow night considering order appetizer almost hour prior tell right ask several time little iffy but mistake happen say would buy u round drink wait trouble in come wine come two snifter marooney dark farmhouse rouge wait what ?? right put glass boyfriend look say wait order farmhouse rouge ?"" kind snotty tone reply yeaaaah ' ."" since order obviously completely different beer color taste even glass serve ask first beer serve actually she say ' sure walk away okay today still idea beer drink arrive it forever mystery we decide order entree well i say stay away shrimp grit the grit poach egg large piece pork belly delicious ' save dish fishy shrimp instead plump sweet taste almost like shrimp cocktail kind tell ' fresh probably freeze ago for $ 16 price tag ' worth come establishment beer ( actually serve one order ), draft wine ( still yay !), appetizer ' expect stellar service seafood price probably ' return recommend time soon make sad "
1007,919,354,5.0,i flu need something stomach i order delivery postmates mainly strawberry smoothie sound good but since delivery i need hit minimum order i add grill cheese afterthought oh man let tell the smoothie good grill cheese might one best i ' ever i switch 12 - grain bread sourdough melty cheesy crispy spicy ooey gooey time very good certainly order 
1008,607,142,4.0,this place solid 4 had teriyaki salmon 5 ***** miso soup ( salty ) 3 *** salmon avocado roll : 5 ***** spicy tuna roll : 2 ** ambiance / decor : 5 ***** service : 5 ***** price e average vegas 
1009,829,318,3.0,bright shiny clean nohea gorgeous great spot grab pedicure friend lowe absolute genius good nail tech leave ' impossible get appointment apparently ' one leave acrylic want gel ' schedule someone else they also unfortunate habit overbooking tech shop ventilation problem but get appointment lowe 140 % worth 
1010,488,268,5.0,first time charm after year drive place stop tonight try glad food delicious meet owner / cook prepare everything fresh service bite slow due care personal attention owner highlight chicken pesto pizza ... best i ' ever shrimp scampi appetizer also fantastic fresh bake bread great il forno pizza wood - fire crust make pie we ' back ... soon can ' wait try homemade pasta also happy support small business 
1012,955,305,3.0,wanted try somewhere new breakfast after read review decide give go walking smell different kind food it smelt wonderful it seat easy it little crow loud like cafeteria we wait like 10 minute someone finally acknowledge u take drink order since time look menu able order food it seem like take awhile u get food we order french toast side sausage link two egg bacon / slice tomato everything bagel the people sit long u order two sandwich get food quicker u the food great eggs perfect put together real fast french toast four huge piece i order everything bagel would good ' burn top the food great the service horrible and even worth when finish wait server come check wait around 15 minute come we never get refill even check make sure thing good it hard even get someone ' attention three star service otherwise would give five might go back order carry instead 
1013,621,252,5.0,this true five start restaurant our party three two - - towner one local new area we el chorro recommend u friend mesa a short wait bar seat patio great server we short rib seafood pasta trout almondine mussel appetizer the seafood pasta mussel bite overkill seafood i seafood lover love the new paradise valley member group ( fresh college ) love well u older folk plan return soon all wonderful even we add must visit phoenix list 
1014,640,85,5.0,seriously new favorite place old town go work great happy hour price i totally underestimate amount food give i first come overate haha the taco bowl huuuuuge i also love love love get jicama cucumber side and honestly thing diego pops miss flan dessert menu if add i would every day 
1015,534,154,5.0,this place yelp went lunch time sit bar order receive plate quickly the downside bartender busy chat return customer worry patron great salad 
1016,434,44,5.0,definitely one old town favorite love salad ; entrées tasty always enjoy dinner time atmosphere drink good a bite pricey side get pay great service food 
1017,418,85,5.0,love place ashlyn always take great care everyone food amaze drink great patio comfy 
1024,734,157,1.0,this place awful when boyfriend i sit take server 15 min greet u ( meanwhile sit right front kitchen could see take sweet time ) take another 15 min get salad breadstick table our server never come check u see get food ( food ' good ) need anything i one flag get something i also hear talk manager 2 table !!! us table next u basically ignore u whole time i ' know busy stress case ' work i never back location so sad 
1026,549,284,5.0,with kitchen open til one morning place take care breakfast lunch dinner plus midnite snack the drink reasonably price i recommend go deep menu baseball cut steak tortilla soup thai crunch salad ..... this place far chop house yum 
1028,966,358,2.0,after many year enjoy recommend kaya i reluctantly force downgrade 4 5 star 2 5 as uncharacteristic big burrito group establishment i must sadly report service food quality diminish point consistent disappointment 
1029,764,152,5.0,soto hand amaze my roommate i would go every week see make u sushi without fail every week i recently move vegas live az my husband i look everywhere sushi like disappoint every time now i go visit vegas i always stop see ever go 
1030,583,3,5.0,indian fast food !! loved the idea this place modern clean staff friendly .. fun enjoyable i love mango lassi chicken tikka plate my recommendation variety menu :) 
1031,802,132,2.0,first time dc disappoint we 4pm open second table seat we wait 25 min salad serve lettuce brown for open lettuce fresh then wait another 30 min entree steak decent nothing write home potato pretty blah definitely worth money then find bill choose cesar side salad instead mix green additional $ 4 / salad ridiculous waiter tell u not worst place i ' ever eat way many great steakhouse phoenix metro area ever go back dc ' 
1037,740,325,5.0,happy dog cleveland ' answer chicago ' hot doug ' one thing - hot dog do thousand different combination various top condiment sauce everyday exotic my first time i go suggest combination korean ingredient include cucumber kimchi chili paste my dog delicious as another reviewer mention bun become soggy inedible fast normally would enough shave star two right in case much spicy vinegary korean top perfectly do beef dog one sublime flavor profile i ' experience my wife dog mexican mole theme mouth wateringly tasty - le collateral damage bun boot the fry tot amaze - sure pick interest sauce well it surprise food good partly brainchild momocho ' eric williams the space old bar - probably look different 1950 i love kind time capsule ambiance even hipster vibe 
1040,696,172,4.0,i love atmosphere cien agaves the place really cool feel there upstairs ( traditional table ) downstairs ( bar high top ). there great happy hour menu large selection margarita chips salsa guacamole queso really good the salad i party order taco part look amaze parking little tricky depend time day since heart old town well worth visit mood southwest vibe 
1042,367,224,4.0,best happy hour lakewood great atmosphere friendly staff so many option keep u come back keep sarita :) 
1043,159,64,3.0,we come twice stay why because beef noodle soup tired hungry slightly hungover want something satisfy need something homey american food cannot noodle asia appropriate din opportunity plus downstairs lobby venetian shitty service ' matter get bowl the waitress take order request we ask waitress 
1047,982,24,3.0,short wait sunday morning brunch probably 10 minute pay enter nice selection food some decent vegetarian option a couple carve station omelets sushi asian fruit bread american seafood dessert etc all food i eat pretty good - i ' send back plate full food i ' really hog - trough eater - nice variety food choose i would probably go back unless i someone really want go for matter i probably go back buffet vegas - anywhere else wait staff great the dessert great 
1049,131,111,3.0,when figure i give another shoot well nope thing happen another order burn toast i love denny ' i honestly think better ihop i ' go find another one go 
1053,926,256,5.0,i see place feature charlotte afternoon talk show along place pizza look good tv online menu suck goat cheese pork belly puréed garlic sign we recently find side town ( directly across knights baseball stadium ) know go this place tuck alley street park ' easy ; i recommend go ahead park park deck the restaurant small order pizza pretty much way order subway moe ' everything right front pile ... husband get meat eater ' pretty normal - nothing ordinary go place like get something get anywhere ?! that ' like go baskin robbins get vanilla i settle southern comfort ... sweeter alfredo sauce cheese basil pork belly corn added caramelize onion girl make pizza suggest i put italian sausage - sure she also say i know gonna sound strange ' do let drizzle honey two piece see like honey on pizza ok i ' game ... game changer omg wow i ' even tell good - i ' glad suggest i would never do something like this place worth hint find i promise ' sorry 
1055,711,164,3.0,be forewarn typical cirque show instead utilixing lot acrobat i would guess 3 / 4 cast train modern dance my favorite cirque show variety skill acrobatics mystere ka story acorbatics great giant float stage oh involve lot water acrobat dive pool all show i mention music forgettable cirque gibberish the music star love show since kid like beatles money well spend the stag light sound impressive correlate song if big beatles fan i ' stay away i understand disappoint i think could use jaw drop acrobatics i keep wait performer bounce around bungee something never i thinkning ' heck i !' from theatrical musical experience good show want see acorbatic cirque show i ' skip 
1057,743,267,4.0,i recommend shrimp scampi pair well ... anything this continue favorite dish 20 year my favorite version traditional way come angel hair pasta ' also awesome one combination choice like herb crust salmon and ' hard go wrong cheesecake course 
1059,162,127,3.0,we come hot july 4th services great the waiter get u ice water immediately so order two bowl pho one bowl bun bo hue order spring roll the spring roll loosely wrap like roll typically vietnamese restaurant the pho good great the bun bo hue bland pho broth little spice color good !!!! 
1060,59,56,5.0,yum i could eat every day my favorite special burro my second would two taco beef chicken delicious affordable quick take tortilla home later 
1064,981,356,3.0,the pizza good i see others like i tlike flavor the cheese use seem almost smokey flavor i ' quite put finger i ' order even though i ' sure others love best luck 
1067,945,350,4.0,food good lot choose i love custom omelette ..!!! around world type food something everyone .. 
1069,970,359,4.0,probably decent place macarons markham it ' small shop ambiance aighhht relaxation conversation the earl grey lychee rose best flavour everything size flavour colour presentation even sandwich ratio perfect ( compare markham shop ). the price vary flavour piece run $ 2 25 -$ 2 50 ( tax half dozen ). so ' afford fly paris new york ' lazy drive nadege take advice visit ruelo this place serf cake coffee high tea well ' crave something different the coffee ' greatest pair something delectable pistachio macaron ' even notice edit - jun 14 / 11 - i finally chance try wasabi grapefruit macaron they never seem i go time i lucky enough grab one i skeptical first combination japanese mustard bitter grapefruit work definitely go try 
1070,508,272,4.0,my fave place healthy delish salad soup i actually ' try sandwich yet i hear good friendly service always fast if avoid come around noon since ' pack peak lunch hard find park this fave place go week :) 
1071,513,274,1.0,"my bf rent versa 48hrs / 2days main car break need car get work quote $ 44 he decline everything offer he specifically refuse insurance would cover when return car charge $ 111 they added insurance without his consent $ 25 99 per day representative help devry "", ( least ' say name ) never business why bait & switch ""??!?!! this wrong "
1073,610,298,5.0,i order reuben taco salad humus lunch they super good delivery get right time the chip fantastic 
1075,949,307,2.0,i ' always love fired pie still this location however horrible i tempt take video guy put sauce pizza like 5 minute ( even joke ). everyone work thing slowly understand long ppl wait line will never come location i write review restaurant wait 40 minute order another 10 min get pizza fyi 7 people ahead i come 
1076,222,162,1.0,"with many wonderful restaurant reason come i never come back service bad food bad ( except soup ), atmosphere nice although open slot machine luxor if sit bar huge pillar flat screen great watch sport hide away bartender sit righthand side i get get attention ' see the girl sit next actually move one table lounge service bad ( get great service cocktail waitress though ). the wild mushroom soup amaze restaurant get star have soup go somewhere else main course the steak i order tasteless i order side bearnaise sauce get i love steak ; i would eat steak everyday i could even free ( definately ' ). and bearnaise tasteless well if i ' enjoy soup much i would think something wrong sense taste the wine also taste like open day maybe even day i ' wine snob like vinegar the bartender ' even bother pour little see go bad this first time life i refuse glass wine "
1079,723,203,2.0,i ' dick ' many time great time this however not one time i understand staff normally sassy sarcastic waitress right rude she would explain coupon give u restaurant she snatch friend ' phone away explain menu say ' pay attention the food great the steak amaze too bad waitress ruin dinner 
1080,749,135,5.0,my taiwanese friend husband take yummy place freshly make dumpling noodle we order much food hungry they surprise know ' high quality steam dumpling chicago really treat spicy dumpling good come rice noodle steamed dumpling good soupy snow pea sprout good good portion beef noodle soup decent 4 / 5 star fried tofu surprise ' greasy ' egg tofu we order red bean pancake dessert 5 star !! if i come back pittsburgh i make sure visit place definitely come early ' wait ' small place would love try bubble tea next time 
1084,364,118,2.0,i go i hear ' famous around forever i overly happy meal though i order famous meatball spaghetti the food come 5 minute order tell prepare freshly rather either make en mass sit around the spaghetti sticky old taste the meatball good the salad come right i order good salad fresh i could tell lettuce wilt salad dress around somewhat pricey fresh food ... 
1085,843,58,4.0,first time place i come base yelp review i love gyro plate very flavorful generous portion i request half salad half rice side i personally care rice .. i would rather double greek salad side the dress unbelievable overall food fresh we get hummus app the pita fresh my complaint would hummus it think lack flavor i would get great job atmosphere customer service 
1088,577,183,4.0,tried public school lunch today experience fantastic i ' sure little loud meal hour enjoy atmosphere great meal their beer selection par love crispy chicken sandwich phenomenal service staff host waitress vanessa if want solid beer recommendation - ' girl great time back try dish explore mix drink concoction 
1089,557,211,5.0,not best vietnamese restaurant charlotte the best restaurant charlotte i much expensive / fancy din experience city i ' food good service even ballpark the owner simply amaze she remember everyone she know sit eat treasure when overwhelm menu unsure try ready make something u meet taste and one kind lady staff good friendly attentive i wish i could try menu i love bun much i might cry i go ' get bun simple i get lang van i mostly opinion bun bun some better others difference minor but lang van incredible each meat delicious crisp roll tasty well the wife ' addict bun i try menu never disappoint i get try dish well best world we get fresh summer roll always great wife would probably divorce order marry peanut sauce option we finish everything coffee leave incredibly happy you definitely go go often stop read review go now 
1090,518,32,5.0,i think time update review since luna ' move new location to fair first review also five star - say enough the new spot open bright fresh i love sit communal table usually nice tea work laptop it ' great know moment i get hungry i entire menu delicious food smoothy juice tea ... even coffee wine dessert great menu expansion trust never guess dessert vegan luna ' consistently maintain quality service keep bar raise high vegetarian / vegan option charlotte 
1091,559,209,5.0,awesome awesome awesome food great potion size enough service helpfulness well pulse jo great place defiantly go back did i mention inexpensive well 
1094,778,335,5.0,the cleanest park ever plenty park space definitely plus i love take little cousin perfect family it also small hike area awesome i come almost every week cleanliness constant 
1097,1010,330,5.0,i spend three half hour read customer review number area ac repair service i settle az dukes air great review i read i say i happy company i select i call shortly 7 : 00 give time window 10 - 12 robert arrive 1035 he do hour he efficient courteous much able put thing term i could understand i feel amount i charge fair work i definitely call i need ac service thank tonya get - day appointment thank robert wonderful technician 
1099,408,241,1.0,"i hope bring awareness unfortunate experience futo buta prevent another disable person treat like we treat outright mean spirit disrespect server abbey understand disable guest could sit one restaurant high table barstool we arrive shortly open 11 host graciously sit disable lunch buddy one table chair tall barstools the physical limitation person i inhibit able sit barstool high table the server much surprise start introduction tell u would move tall table get rush after point obvious explain server lunch partner disable could sit barstool ( clearly !), server repeat introductory statement move another table get busy it clear issue server felt move we first customer day at point one additional customer sit bar we anyone ' way block anyone thing we take amount space two people would we would happy move valid reason server one we want nice lunch we never treat disregard disrespect i suggest restaurant management ensure good plan accommodate individual disability inform disable guest inability if plan make sure staff aware our sever clearly aware lack kind sensitivity understand situation what terrible awful experience "
1103,144,116,5.0,freaking love place !! kyle help u give u sample whatever want try i end buy 3 bottle local hottie the kitchen sink sweet greens also get green milk shake we also check facebook get free shoot really nice shoot super intense it open sinus clear right i ' remember name ginger lemon cayenne pepper it burn real good way try 
1105,579,267,2.0,"ive eat cheesecake factory location much better experience go .... we arrive around 12ish sunday horrible time south park mall dont unless u jus bore we wait approx 1hr didnt leave know restaurant would wait time once seat go hill we didnt get hey u good afternoon the waitress whitney k act bother whole time i order veggie appetizer ask sauce i order fish chip - ask i could substitute cole slaw say garnish cant "". she never ask i want maybe pay extra salad maybe another item i ask vinegar fish really understand point i didnt jus pay leave i do matter say i wasnt hear next i ask manager proceed listen apologize the food really wasnt good mishap pay i leave tip i never do could child but i feel u give 100 % work time go home plenty people need job im always happy work either i make sure i dont reflect service public once manager owner business master employee u happy customer wait return i go olive garden next day staff 100 % waiter earn 20 % i leave i never ask anything professional busy memorial day !! now top leave i saw miss whitney show receipt manager i leave tip make weird face .... really u expect leave hard earn money someone rude family ??? i wont return coin b spend elsewhere .... enuffsaid "
1106,886,33,4.0,i ' nyc one well always great sushi upbeat trendy atmosphere the issue one vegas service extremely slow ( waiter would forget u long period time ) loud crowd i shout entire time person i could 
1107,985,36,1.0,i count time i 1 hand the last time go last time ever go anything could go wrong did i end get kid drink bar 45 minute order food cold soggy ; could tell server cause could find 30 minute 
1108,795,322,1.0,"after read review decide finally try avenue b list quite time i say i find everything place lackluster we the raw deal appetizer i ' think apt name $ 16 plate mushy fish go one many pulse food processor it almost inedible after duck meat loaf entree terrible flavor prepare poorly the temperature ( warm potato hot onion ring room temperature meatloaf ), duck medium well ( despite order mid - rare ), side lack better word it ' possible catch kitchen bad night entirely overprice even good we spend nearly $ 100 awful appetizer two entree barely eat half i ' already regret fact i leftover fridge there much better option city cheaper better i return avenue b "
1110,833,323,5.0,this place unanimously best hookah place vegas book i ' visit almost all local hookah lounge / restaurant valley i ' come easy conclusion azuza hookah lounge & cafe best here : 1 ) hookah : everything lead make good hookah bowl pretty standard similar place however ice - fill base huge plus term smoothness the employee knowledge different type hookah smoke impressive informative they excellent ability match / mix flavor like they understand ' satisfy hesitate please hookah taste bud ( least many experience ). several bowl i ' last long ( beyond two hour ). of course change frequency smoke the hookah hose high quality clean ( fancy ). 2 ) food / drinks : the food excellent all organic fresh you ' find another hookah lounge food price taste like the drink eclectic ( non - alcoholic ). none disappoint anything hot tea ice juice awesome 3 ) employees : the employee respectful knowledgeable friendly i treat employee respect return respect well they handle issue food hookah willingly respectfully swiftly it get busy time service take longer time ' get sometimes they know menu excellent recommendation they uniform allow customer distinct employee ' ( place ' ). 4 ) ambiance : good clean space it ' lounge i see people complain table space i would suggest go restaurant i make due space hand the music range electric dub - step hip hop reggae they mix often i love play reggae the music ' play ear - pierce volume consistently ( like hookah place ). 5 ) price : reasonable & fair the regular price hookah similar hookah place valley happy hour hookah 5 - 8pm i go time often the food worth money drink i hookah home ( several ) i want wind hard day work i choose place azuza hookah lounge & cafe it ' awesome hookah place culture good food good drink friendly employee i follow twitter facebook special may thank azuza 
1111,174,107,5.0,always good one best place eat phoenix area i always get purista generous help import parma ham ( prosciutto ). get slice sourdough amount bread ' overwhelm experience they excellent wine selection much choose import italian food it get busy plan ahead bring someone grab table order 
1113,929,355,5.0,sunday 6 / 24 / 2018 jose come assist u a / c unit it go morning ahs send doctor cool repair after read mix review rather skeptical sure expect .. repair folk home warranty company .. fridge go company come 3x fix .. pool pump go company also take multiple visit fix issue .. long story short ... jose professional .. he let u know go entire process leave everything run great .. doctor cool definitely great employee jose outstanding job .. he make sure inform happy do leave ... hat jose doctor cool take care need 
1114,986,354,4.0,fantastic food service good coffee i love chop salad good little breakfast / lunch spot 
1116,809,338,1.0,if like overprice food place !!! and ' expect breakfast burrito breakfast time i twice 8 : 30am even though door say open 8 true the 3rd time i come last time $ 6 change bean egg burrito absurd 
1120,1038,144,4.0,great happy hour service get black bleu burger 
1122,708,322,4.0,this restaurant fantastic nothing mind blow it menu comparable legume sense everything make freshest seasonal ingredient however ... i prefer legume we start dinner 2 appetizer : - spare rib bbq sauce - smoked tuna strawberry salad both delicious the spare rib meat fall bone tender sauce bbq sauce refine the smoke tuna salad make appetizer worth for main course : - arctic char scallop couscous the arctic char nothing special scallop amazing unquestionably fresh best part meal hand ( bad 2 piece ). a friend ribeye also tasty i definitely enjoy meal avenue b meal come hefty price i ' know ' worth another trip =/ if i ' pay much food better mind blow 
1123,908,29,5.0,finally find best mexican food restaurant since live nevada this place disappoint u there usually wait get alone tell ' pretty great highly recommend queso dip fajitas yummy definitely get money ' worth drink price reasonable well the thing suck wait area way small inside hear call name ' pretty cramp people uncomfortable the host waiter bussers awesome overall back !! 
1125,973,187,4.0,met friend lunch i tuna wrap light refresh on recommendation yelpers bf steak kabob - think fantastic hope recreate home i may steal piece steak three service friendly steady stream customer will return 
1126,924,177,1.0,"i ' comment conduct one tour leader take group appear mainly senior citizen tour red rock canyon park today their convoy pull farthest park lot second park area enter park the problem pull side walkway right behind park car that experience begin i family process back old people scooter right behind car it safe tour leader # 1 encourage after successfully back i proceed narrow lane create convoy park unsafely right u series park car leave the leave hand turn i make particularly narrow due tour leader scooter park front convoy tour leader # 2 front car recognize situation create rather get scooter move way proceed gesture hand arm wildly assume role traffic cop i distract amount unrequested buffoon show as first pas unsuccessful rather allow opportunity correct angle buffoon proceed come driver side window and put his hands on my steering wheel .... i request help way shape form now ask move vehicle commandeer steer wheel correct angle my family look startle discomfort though think whats buffoon go next he create highly unsafe situation result buffoonery ... as i leave buffoon decide save face announce convoy disbelieve tourist he cant drive "".... kid you come family life unwelcomed buffoonish way create buffoonish situation try launch buffoonish insult pay customer i take tour would recommend base peripheral experience would certainly caution anyone place life hand clear buffoon tourist leader ruined otherwise lovely family day "
1127,279,7,5.0,great new restaurant penn ave ' reasonably price at first i think would upscale restaurant base name i think purpose it ' comfortable restaurant ' open two month the meatball delicious menu original i pork meatball panini gouda spinach almond pesto the sauce amaze for side i rocket salad balsamic vinaigrette great atmosphere bar stainless steel din definitely go back try sauce our waiter tell u ' go 3 floor rooftop area great addition restaurant scene downtown pittsburgh 
1132,790,61,4.0,nice retro activity kid - i little apprehensive i first pull from outside build look like place walter white maybe hang a sandy color unassuming warehouse build weather sun surround park lot walk ' fill game gamers ... nothing fancy entertain eat ahead time real food ... tron high score mine ... least brief moment ... 
1133,53,50,4.0,first i want say group amazing time encore beach !!!!! but end drop ton cash if read review carefully ' notice people best time usually one buy lily pad couch area it $ 500 minimum couch area blackjack table i ' tell 100 % worth we bottle vodka order food yummy :) there one ugly thing place though i remove 1 star ' allow oversized bag backpack force check $ 20 !! $ 20 !!!! it ' insane it really piss group first cause 2 u big bag least let u put together $ 20 total jerks ..... i ' sure ' good reason oversized bag ' tell u one mess thing happen approach promoter night leave xs offer u free admission and cabana free we like hell yes !! and get encore beach guy ' around one would help u stick pay spot we pretty piss ' let ruin time get end pay ok back good place : the people very friendly everyone ' good time we talk lot people couple next u couch awesome overall sooooo much fun great music dance pool area it would much fun ' pay space though so suck pay else stay hotel pool ( also awesome aria ). 
1135,554,29,5.0,best mexican food town seriously price right the margarita amaze actually everything !!! 
1137,931,47,4.0,place seem like would hipster trap food flawless wine list amaze * afford anything seafood platter start natural grass - feed beef steak finish organic spinach middle flatout awesome i expect 
1139,997,33,4.0,this place little sushi much peruvian brazilian the menu flight cater group they say go interview table see like dislike ... but ' happen however food course blow u all away we start small plate ceviche taco best i ever among favorite : sea bass skewer beef truffle sort dumpling plate can ' wait go back next time ' tell shut take money the flight course quote 40 - 50 per person we end check bigger ( 70 - u drink ). if stay palazzo must visit 
1142,1030,200,5.0,yum yum yum classic breakfast do right do favor get hog chick cheesy scramble egg rosemary potato onion bacon sourdough toast what else need ?! 
